epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,855.289,0.58004,0.60019,1.10757,0.96116,0.96667,0.98979,0.85618,0.56375,0.7553,1.10237,0.005842,0.005842,0.005842
23,893.329,0.61782,0.61696,1.11864,0.96646,0.96078,0.99127,0.87092,0.537,0.72837,1.07352,0.005644,0.005644,0.005644
24,933.238,0.53964,0.57651,1.07813,1,0.96268,0.99403,0.86236,0.55852,0.71492,1.1169,0.005446,0.005446,0.005446
25,968.51,0.595,0.58886,1.10809,0.99438,1,0.995,0.86682,0.56739,0.62666,1.11764,0.005248,0.005248,0.005248
26,1009.14,0.54511,0.54304,1.07086,0.93501,0.95939,0.9595,0.82719,0.6134,0.7117,1.18383,0.00505,0.00505,0.00505
27,1049.2,0.54845,0.52075,1.08204,0.96667,0.96664,0.9641,0.84228,0.58383,0.67685,1.16718,0.004852,0.004852,0.004852
28,1089.47,0.56849,0.54049,1.08767,1,0.92856,0.98229,0.84789,0.54949,0.66277,1.13695,0.004654,0.004654,0.004654
29,1129.24,0.50744,0.50705,1.06914,0.99678,0.93333,0.97768,0.84849,0.53557,0.67454,1.11308,0.004456,0.004456,0.004456
30,1169.06,0.51113,0.48408,1.04232,0.93039,0.96667,0.96894,0.79876,0.64152,0.73808,1.1903,0.004258,0.004258,0.004258
31,1208.83,0.563,0.54701,1.12902,0.96471,0.96667,0.98315,0.86678,0.49685,0.6106,1.07389,0.00406,0.00406,0.00406
32,1247.67,0.56039,0.52263,1.09411,0.93239,0.96667,0.96721,0.85363,0.52152,0.58028,1.08958,0.003862,0.003862,0.003862
33,1285.83,0.51345,0.5025,1.06571,0.99546,0.96667,0.98868,0.89906,0.47579,0.50769,1.06704,0.003664,0.003664,0.003664
34,1324.79,0.52866,0.47746,1.09374,0.99705,0.93333,0.99047,0.85996,0.56079,0.6143,1.14303,0.003466,0.003466,0.003466
35,1364.36,0.53877,0.47811,1.07571,0.99491,0.93333,0.99127,0.86016,0.51531,0.53635,1.10517,0.003268,0.003268,0.003268
36,1404.03,0.53275,0.49439,1.06828,1,0.95409,0.99147,0.86794,0.52519,0.54984,1.11147,0.00307,0.00307,0.00307
37,1444.11,0.55613,0.53636,1.10744,0.96762,0.99607,0.99403,0.8696,0.55614,0.55082,1.14547,0.002872,0.002872,0.002872
38,1484.34,0.49587,0.48605,1.05472,0.96763,0.99655,0.99403,0.87193,0.55173,0.51476,1.14355,0.002674,0.002674,0.002674
39,1525,0.52443,0.46064,1.04942,0.96567,1,0.99403,0.88032,0.51058,0.48827,1.1027,0.002476,0.002476,0.002476
40,1564.61,0.49504,0.49361,1.05922,0.99539,0.96667,0.99312,0.86297,0.51325,0.49569,1.10022,0.002278,0.002278,0.002278
41,1603.39,0.4979,0.60307,1.14277,1,0.99485,0.995,0.88757,0.48914,0.55005,1.07384,0.00208,0.00208,0.00208
42,1643.1,0.3561,0.48761,1.0249,1,0.96066,0.99312,0.89553,0.45583,0.59683,1.01739,0.001882,0.001882,0.001882
43,1682.64,0.51488,0.55853,1.20267,0.99894,0.96667,0.99312,0.89881,0.44436,0.5531,1.00683,0.001684,0.001684,0.001684
44,1723.2,0.35298,0.45118,1.00983,0.9966,0.96667,0.99403,0.90852,0.45544,0.53082,0.99604,0.001486,0.001486,0.001486
45,1764.13,0.34504,0.44075,1.01588,0.96754,0.99386,0.99403,0.91509,0.43369,0.47388,0.98393,0.001288,0.001288,0.001288
46,1804.88,0.33638,0.41345,0.97911,0.9968,0.96667,0.99403,0.90641,0.425,0.46897,0.96628,0.00109,0.00109,0.00109
47,1845.2,0.34031,0.40119,0.99385,1,0.99939,0.995,0.91066,0.43258,0.44733,0.97759,0.000892,0.000892,0.000892
48,1885.75,0.34378,0.39545,0.98435,1,0.99836,0.995,0.90169,0.43775,0.43992,0.9836,0.000694,0.000694,0.000694
49,1929.37,0.3319,0.38321,0.99747,1,0.99983,0.995,0.89867,0.43047,0.43341,0.97285,0.000496,0.000496,0.000496
50,1972.52,0.34692,0.39757,1.01067,0.99882,1,0.995,0.89518,0.42048,0.41149,0.96074,0.000298,0.000298,0.000298
