epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3436,0.61398,1.02262,1.157,1,0.98889,0.995,0.83545,0.5977,1.72497,1.23034,0.0847,0.0017,0.0017
2,66.2653,0.55759,0.8979,1.133,1,0.94863,0.99227,0.73176,0.72456,1.72412,1.38299,0.0684307,0.0034307,0.0034307
3,106.557,0.5553,0.82954,1.1126,0.92962,0.93333,0.97389,0.83535,0.67331,1.36235,1.34052,0.0520901,0.00509012,0.00509012
4,151.018,0.58662,0.82945,1.12979,0.99248,0.93333,0.989,0.80881,0.62436,1.38703,1.19957,0.0356783,0.00667826,0.00667826
5,195.099,0.64525,0.85862,1.20226,0.93324,0.93191,0.98124,0.7859,0.68616,1.18264,1.29794,0.0191951,0.00819512,0.00819512
6,240.131,0.68515,0.8097,1.17477,0.81,0.9,0.8703,0.57404,0.98129,1.74492,1.86663,0.00901,0.00901,0.00901
7,281.146,0.70668,0.94249,1.20177,0.59526,0.73333,0.74407,0.34324,1.49299,2.70149,3.06175,0.008812,0.008812,0.008812
8,322.019,0.73741,0.84982,1.21881,0.83357,0.83333,0.89264,0.44492,1.40427,1.71326,2.19791,0.008614,0.008614,0.008614
9,361.85,0.66695,0.79292,1.14876,0.8917,0.86667,0.93821,0.68004,0.76954,1.3264,1.37544,0.008416,0.008416,0.008416
10,402.705,0.71519,0.81879,1.20762,0.96646,0.96059,0.98366,0.79659,0.65045,1.18585,1.2091,0.008218,0.008218,0.008218
11,442.829,0.64873,0.75048,1.14095,0.93326,0.93232,0.96681,0.79261,0.70412,1.05092,1.24646,0.00802,0.00802,0.00802
12,481.912,0.66871,0.77683,1.13927,1,0.82614,0.88213,0.72737,0.74733,1.17695,1.31596,0.007822,0.007822,0.007822
13,520.739,0.67458,0.76648,1.17119,0.93546,0.96633,0.95846,0.81692,0.63172,1.17563,1.19225,0.007624,0.007624,0.007624
14,555.611,0.67195,0.72378,1.14996,0.96122,0.96667,0.989,0.78389,0.63277,1.02778,1.20442,0.007426,0.007426,0.007426
15,590.774,0.6556,0.69602,1.13771,0.99667,1,0.995,0.81289,0.67642,0.93013,1.23283,0.007228,0.007228,0.007228
16,624.995,0.68501,0.68293,1.14553,0.94735,0.93333,0.96426,0.65348,1.0015,1.31466,1.80354,0.00703,0.00703,0.00703
17,662.899,0.63881,0.71702,1.14869,0.96541,0.93043,0.95643,0.5361,1.20611,1.31999,2.24069,0.006832,0.006832,0.006832
18,703.555,0.60898,0.66906,1.14552,0.99215,0.96667,0.98337,0.76867,0.67961,0.87507,1.26307,0.006634,0.006634,0.006634
19,744.03,0.65289,0.63788,1.11005,0.96327,0.9,0.93387,0.73981,0.70899,0.95877,1.3269,0.006436,0.006436,0.006436
20,782.324,0.6346,0.64009,1.13233,0.99597,0.93333,0.98569,0.82776,0.59126,0.74879,1.19679,0.006238,0.006238,0.006238
21,819.152,0.56909,0.59099,1.09049,1,0.96248,0.98932,0.84125,0.59263,0.73297,1.18099,0.00604,0.00604,0.00604
