epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2262,1.58672,1.50566,1.93376,0.88643,0.81395,0.88587,0.40309,1.85126,1.16619,2.80375,0.073,0.003,0.003
2,104.452,1.45997,1.06347,1.60504,0.63235,0.34884,0.41238,0.15427,2.2976,2.17486,3.23245,0.0449792,0.00597922,0.00597922
3,173.91,1.41652,0.98438,1.55249,0.94829,0.85311,0.95877,0.46954,1.70353,0.94629,2.34661,0.0168357,0.00883568,0.00883568
4,262.388,1.43061,1.02094,1.64309,0.97434,0.88294,0.94693,0.45824,1.69278,1.06459,2.3055,0.009406,0.009406,0.009406
5,319.879,1.33172,0.98551,1.53815,0.97554,0.92757,0.98072,0.54705,1.64215,0.99608,2.1713,0.009208,0.009208,0.009208
6,404.76,1.45734,1.05898,1.56301,0.94392,0.93023,0.96383,0.53111,1.59021,0.94749,2.13426,0.00901,0.00901,0.00901
7,489.358,1.32992,0.91177,1.52804,0.94257,0.97674,0.98142,0.51182,1.60546,0.98586,2.10926,0.008812,0.008812,0.008812
8,571.629,1.42319,0.97187,1.53945,0.90753,0.91308,0.95022,0.5124,1.65002,1.00038,2.13358,0.008614,0.008614,0.008614
9,661.696,1.36458,0.96381,1.53281,0.97664,0.97255,0.99023,0.53763,1.57931,0.931,2.07575,0.008416,0.008416,0.008416
10,719.618,1.33807,0.93298,1.53117,0.89316,0.9721,0.96626,0.46408,1.6985,1.09499,2.23218,0.008218,0.008218,0.008218
11,767.958,1.33215,0.8929,1.48877,0.94101,0.95349,0.98825,0.4841,1.69552,0.96145,2.35338,0.00802,0.00802,0.00802
12,816.321,1.38912,0.91892,1.53123,0.93441,0.99395,0.97944,0.49186,1.67566,0.87753,2.23183,0.007822,0.007822,0.007822
13,880.388,1.40388,0.90687,1.57819,0.92676,0.88287,0.9276,0.44262,1.80467,0.97594,2.36418,0.007624,0.007624,0.007624
14,934.485,1.31873,0.88014,1.50832,0.97468,0.97674,0.99283,0.53394,1.59168,0.78259,2.1176,0.007426,0.007426,0.007426
15,983.768,1.33892,0.83805,1.50477,0.95134,0.95349,0.97554,0.51706,1.59764,0.74506,2.16351,0.007228,0.007228,0.007228
16,1032.04,1.37489,0.87137,1.52858,0.99703,0.97674,0.98647,0.54641,1.56197,0.72714,2.13391,0.00703,0.00703,0.00703
17,1082.13,1.25435,0.78479,1.43064,0.9975,0.97674,0.99411,0.53675,1.58684,0.71606,2.0463,0.006832,0.006832,0.006832
18,1131.06,1.31922,0.83989,1.46534,0.99362,1,0.995,0.54612,1.61273,0.7462,2.15363,0.006634,0.006634,0.006634
19,1180.36,1.25987,0.78059,1.42244,0.99434,0.97674,0.99411,0.58338,1.51071,0.7608,2.01146,0.006436,0.006436,0.006436
20,1230.85,1.3188,0.79243,1.47115,0.97206,0.90698,0.98153,0.55277,1.54461,0.80136,2.17356,0.006238,0.006238,0.006238
21,1281.95,1.23901,0.76779,1.43825,0.99492,0.95349,0.97988,0.53061,1.53802,0.82096,2.06127,0.00604,0.00604,0.00604
22,1330.03,1.25531,0.78102,1.46722,0.94964,0.87721,0.9374,0.53572,1.52849,0.88649,1.99793,0.005842,0.005842,0.005842
23,1377.76,1.27418,0.76504,1.45491,0.97438,0.97674,0.99318,0.55184,1.50745,0.67629,2.00079,0.005644,0.005644,0.005644
24,1425.8,1.22277,0.77745,1.42032,0.99772,0.97674,0.99411,0.54684,1.57359,0.73063,2.07103,0.005446,0.005446,0.005446
25,1477.93,1.18442,0.71094,1.38486,0.99988,1,0.995,0.58961,1.42926,0.60058,1.95744,0.005248,0.005248,0.005248
26,1530.21,1.20645,0.70851,1.39699,0.94838,0.90698,0.93788,0.48577,1.65169,0.77164,2.31411,0.00505,0.00505,0.00505
27,1580.74,1.22211,0.70295,1.43902,0.99008,1,0.995,0.59253,1.42522,0.62315,1.97702,0.004852,0.004852,0.004852
28,1629.91,1.19009,0.70514,1.39723,0.99851,1,0.995,0.60042,1.48298,0.61811,1.9746,0.004654,0.004654,0.004654
29,1679.2,1.23501,0.73825,1.43513,0.99716,1,0.995,0.60227,1.48385,0.62214,1.95189,0.004456,0.004456,0.004456
30,1730.45,1.22068,0.68687,1.41171,0.99735,1,0.995,0.58557,1.53193,0.65447,2.00496,0.004258,0.004258,0.004258
31,1801.75,1.19891,0.66489,1.40402,0.99734,1,0.995,0.56332,1.47963,0.64504,2.05379,0.00406,0.00406,0.00406
32,1870.72,1.19597,0.66183,1.41101,0.99086,1,0.995,0.57779,1.48868,0.67617,2.03168,0.003862,0.003862,0.003862
33,1940.38,1.15769,0.65208,1.39285,1,0.97295,0.99411,0.5472,1.52702,0.66574,2.09352,0.003664,0.003664,0.003664
34,2007.78,1.17725,0.67943,1.38147,0.97373,0.97674,0.97498,0.56234,1.4557,0.65095,2.00039,0.003466,0.003466,0.003466
35,2078.23,1.17073,0.63298,1.38124,0.97674,0.97664,0.99245,0.58002,1.45431,0.6237,1.9508,0.003268,0.003268,0.003268
36,2154.15,1.10824,0.63201,1.35388,0.99676,0.97674,0.99411,0.57417,1.5207,0.63455,1.9978,0.00307,0.00307,0.00307
37,2217.67,1.10862,0.6074,1.34137,1,0.99781,0.995,0.58425,1.48675,0.62131,1.97718,0.002872,0.002872,0.002872
38,2301.32,1.16054,0.63969,1.35393,0.99801,1,0.995,0.56938,1.49041,0.57527,2.05256,0.002674,0.002674,0.002674
39,2386.06,1.11769,0.64394,1.34852,0.99535,1,0.995,0.55802,1.50879,0.56365,2.05768,0.002476,0.002476,0.002476
40,2469.34,1.07262,0.60128,1.33227,0.9958,1,0.995,0.56224,1.49109,0.56425,2.01955,0.002278,0.002278,0.002278
41,2544.07,0.99876,0.52226,1.41339,0.99396,1,0.995,0.53927,1.58475,0.61967,2.03916,0.00208,0.00208,0.00208
42,2618,1.01661,0.52273,1.37878,0.99723,1,0.995,0.5579,1.53361,0.60601,2.00016,0.001882,0.001882,0.001882
43,2691.53,1.0099,0.51175,1.40073,0.97524,1,0.99455,0.55129,1.55111,0.5926,2.02027,0.001684,0.001684,0.001684
44,2764.14,0.97013,0.48173,1.34574,0.97718,0.99595,0.99455,0.5652,1.51905,0.58705,1.98284,0.001486,0.001486,0.001486
45,2841.66,0.93579,0.46835,1.36242,1,0.99825,0.995,0.56894,1.4699,0.54397,1.97946,0.001288,0.001288,0.001288
46,2929.84,0.93941,0.4678,1.35367,0.9942,0.97674,0.99411,0.58454,1.44829,0.54248,1.95176,0.00109,0.00109,0.00109
47,3022.27,0.93081,0.46078,1.30521,0.99823,0.97674,0.99455,0.59893,1.44167,0.54732,1.92352,0.000892,0.000892,0.000892
48,3113.37,0.92387,0.4667,1.36586,0.99447,0.97674,0.99411,0.60252,1.43362,0.5473,1.91434,0.000694,0.000694,0.000694
49,3203.35,0.89005,0.44967,1.32737,0.99248,0.97674,0.99411,0.58881,1.44451,0.55039,1.93642,0.000496,0.000496,0.000496
50,3299.2,0.90966,0.45287,1.32114,0.9921,0.97674,0.99411,0.58712,1.45957,0.55379,1.95531,0.000298,0.000298,0.000298
